"title","description","content","url","image","publishedAt","source"
"5 takeaways from Cowboys-Giants: Dallas routs injury-ravaged New York","This Cowboys team sure feels different than ones in recent memory. Another example came Sunday. Anthony Brown intercepted a pass late in the fourth quarter...","This Cowboys team sure feels different than ones in recent memory.
Another example came Sunday.
Anthony Brown intercepted a pass late in the fourth quarter and returned it for a 45-yard touchdown, completing a 44-20 rout of the injury-ravaged New Yor... [3867 chars]","https://www.dallasnews.com/sports/cowboys/2021/10/10/5-takeaways-from-cowboys-giants-dallas-routs-injury-ravaged-new-york/","https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/nDJ8xY1X_jGPNKExSuD1owZRECY=/1200x630/filters:focal(2149x822:2159x812):no_upscale()/cloudfront-us-east-1.images.arcpublishing.com/dmn/H6YDIRFG7NFQVMVE6PV2HVFBIA.jpg","2021-10-10T23:55:02Z","{""name"":""The Dallas Morning News"",""url"":""https://www.dallasnews.com""}"
"English football has a vaxxing problem: Richard Buxton","Football News - Leading by example remains the golden rule for all professional footballers. Off the pitch at least, they should act as role models for the rest of society. But many are sending out a different message by allowing themselves to be led astray. Callum... Read more at www.tnp.sg","Ireland striker Callum Robinson says he is not vaccinated despite catching Covid-19 twice.
Leading by example remains the golden rule for all professional footballers.
Off the pitch at least, they should act as role models for the rest of society.
Bu... [3578 chars]","https://www.tnp.sg/sports/football/english-football-has-vaxxing-problem-richard-buxton","https://www.tnp.sg/sites/default/files/styles/rl680/public/articles/2021/10/11/NP_20211011_RBSOC11_6909576.jpg?itok=y7ejTaJ2","2021-10-10T22:00:00Z","{""name"":""The New Paper"",""url"":""https://www.tnp.sg""}"
"Raphael Varane uses Sergio Ramos example to set Manchester United defence challenge","Manchester United centre-back Raphael Varane spent ten years at Real Madrid playing alongside Sergio Ramos.","Something went wrong, please try again later.
Get the United transfer latest, team news, match updates and analysis delivered straight to your inbox every day for free
Raphael Varane has hinted that the time he spent playing alongside former Real Mad... [1671 chars]","https://www.manchestereveningnews.co.uk/sport/football/football-news/manchester-united-raphael-varane-ramos-21811315","https://i2-prod.manchestereveningnews.co.uk/sport/football/football-news/article21811321.ece/ALTERNATES/s1200/0_GettyImages-1168607953.jpg","2021-10-10T11:01:00Z","{""name"":""Manchester Evening News"",""url"":""https://www.manchestereveningnews.co.uk""}"
"THE FRONT ROW with MARK NELKE: Wildness in baseball, and college football as well","Here's example NO. 1,234,567 of why comparative scores don't always mean something.","Chris Taylor ... Mike Zunino ... Dominic Leone ...
Major League baseball and TV — or is it the other way around? — love the one-game wild-card playoff because it is dramatic ... exciting ... captivating.
Here are some other things that might be consi... [3502 chars]","https://cdapress.com/news/2021/oct/10/front-row-mark-nelke/","https://hagadone.media.clients.ellingtoncms.com/img/photos/2021/10/02/Nelke_Mark_2020_r1200x630.jpg?b7d505e466ff31ef2a911eceee85296b69915698","2021-10-10T04:00:00Z","{""name"":""Coeur d'Alene Press"",""url"":""https://cdapress.com""}"
"Coronavirus LIVE Updates: Modi Lauds 'Monumental Effort' of Stakeholders of Vaccination Drive; Top Virologist's 'Warning' for India","Coronavirus Live Updates: Prime Minister Narendra Modi on Sunday congratulated the the country for ""setting an example of the monumental effort"" towards the Indian vaccination drive.","Coronavirus Live Updates: Prime Minister Narendra Modi on Sunday congratulated the the country for “setting an example of the monumental effort"" towards the Indian vaccination drive. “This is just one example of the monumental effort put in by every ... [4851 chars]","https://www.news18.com/news/india/coronavirus-live-updates-covid19-vaccine-narendra-modi-vaccination-pandemic-delhi-mumbai-covishield-4306253.html","https://images.news18.com/ibnlive/uploads/2021/10/modi-vaccine-163359047716x9.jpg","2021-10-10T02:14:53Z","{""name"":""News18"",""url"":""https://www.news18.com""}"
"Ed Sheeran makes pal Example wear Sons of Anarchy biker jacket when in his pub","Rapper Example says Ed Sheeran invites his mates round to his Suffolk mansion and puts on bike gang leathers because he's such a big fan of TV's Sons of Anarchy","Something went wrong, please try again later.
Want all the latest Showbiz news direct to your inbox? Share your email for news, gossip and more
Pop star Ed Sheeran is such a fan of gang TV drama Sons of Anarchy that he gets his mates to wear the show... [1515 chars]","https://www.irishmirror.ie/showbiz/celebrity-news/ed-sheeran-makes-pal-example-25178574","https://i2-prod.mirror.co.uk/incoming/article25178214.ece/ALTERNATES/s1200/0_SOCIAL-Ed-Sheeran.jpg","2021-10-09T21:12:34Z","{""name"":""Irish Mirror"",""url"":""https://www.irishmirror.ie""}"
"Son gave new life by donating his 65% liver","A son has set an example by giving his ill father a fresh lease of life. The young man's father, according to the information received, had lost his liver","Nothing above family: Son gives father a new life by donating 65% liver
Thousands of people around the world believe that nothing is more important than family, but only a handful can back it up. A similar story is currently making the rounds on the ... [2206 chars]","https://www.bolnews.com/latest/2021/10/nothing-comes-above-family-son-gave-new-life-by-donating-his-65-liver-to-his-dad/","https://bolnews.s3.amazonaws.com/wp-content/uploads/2021/10/son-and-ailing-father_615d2bb3e26a6.jpg","2021-10-09T11:23:39Z","{""name"":""BOL News"",""url"":""https://www.bolnews.com""}"
"PM Modi holds talks with Danish counterpart; focus on clean energy and trade","In a press conference held following the bilateral talks, Mette highlighted that cooperation between the two nations is a “great example of how green growth and green transition can go hand in hand.","Prime Minister Narendra Modi on Saturday held bilateral talks with Danish Prime Minister Mette Frederiksen, who is on her first visit to the country. The talks, held at the Hyderabad House here, focused on strengthening the international system based... [2248 chars]","https://indianexpress.com/article/india/pm-modi-holds-talks-with-danish-counterpart-focus-on-clean-energy-and-trade-7561948/","https://images.indianexpress.com/2021/10/modi-d.jpg","2021-10-09T08:33:56Z","{""name"":""The Indian Express"",""url"":""https://indianexpress.com""}"
"The next Jurgen Klopp and how Liverpool can find him","Jurgen Klopp has been managing for over 20 years and a whole host of coaches in Europe have clearly learned from his example","Something went wrong, please try again later.
Follow all the latest developments, transfer news and more with our Reds newsletter
Jurgen Klopp has reached the sixth anniversary of his appointment as Liverpool manager and has now been working as a coa... [4951 chars]","https://www.liverpoolecho.co.uk/sport/football/football-news/next-jurgen-klopp-how-liverpool-21771677","https://i2-prod.liverpoolecho.co.uk/incoming/article21809464.ece/ALTERNATES/s1200/0_GettyImages-1235459467.jpg","2021-10-09T00:00:00Z","{""name"":""Liverpool Echo"",""url"":""https://www.liverpoolecho.co.uk""}"
"Organ centers to transplant patients: Get a covid shot or move down on waitlist","A Colorado kidney transplant candidate who was bumped to inactive status for failing to get a covid-19 vaccine has become the most public example of an argument roiling the nation's more than 250 organ transplant centers.","A Colorado kidney transplant candidate who was bumped to inactive status for failing to get a covid-19 vaccine has become the most public example of an argument roiling the nation's more than 250 organ transplant centers.
Across the country, growing ... [7546 chars]","https://www.news-medical.net/news/20211008/Organ-centers-to-transplant-patients-Get-a-covid-shot-or-move-down-on-waitlist.aspx","https://d2jx2rerrg6sh3.cloudfront.net/image-handler/picture/2014/7/Influenza-620x480.jpg","2021-10-08T13:31:00Z","{""name"":""News-Medical.net"",""url"":""https://www.news-medical.net""}"